,Topic,Word,P
250,8,supportive,0.0075586354
251,8,friendly,0.007169318
252,8,policy,0.007150615
253,8,management,0.006845
254,8,benefit,0.0061774724
255,8,develop,0.005881861
256,8,brand,0.0057570846
257,8,team,0.0050809607
258,8,place,0.004899388
259,8,sustainability,0.004828387
260,8,matter,0.0047141104
261,8,day,0.0045468784
262,8,encourage,0.004468634
263,8,employer,0.004436181
264,8,excellence,0.0044278693
265,8,excellent,0.004395456
266,8,free,0.004200283
267,8,perform,0.0040857103
268,8,environment,0.003951034
269,8,home,0.0038468842
270,9,people,0.068576105
271,9,environment,0.045918565
272,9,working,0.028840272
273,9,culture,0.02392019
274,9,amazing,0.017421415
275,9,team,0.017232511
276,9,level,0.0155576365
277,9,fun,0.014309217
278,9,lot,0.01374905
279,9,friendly,0.013591778
280,9,management,0.01314738
281,9,atmosphere,0.013046406
282,9,free,0.0117163835
283,9,hour,0.010982838
284,9,office,0.010695751
285,9,smart,0.010566317
286,9,colleague,0.010068277
287,9,help,0.009175299
288,9,place,0.0091204345
289,9,hard,0.008893531
290,9,product,0.008881423
291,9,staff,0.008734057
292,9,marketing,0.006962804
293,9,nice,0.0069133067
294,9,provides,0.0063552284
295,9,time,0.0061612763
296,9,quality,0.006124786
297,9,different,0.0060965074
298,9,family,0.0057429913
299,9,department,0.0055565825
